filename,form_score,grade,rom_degrees,torso_stability,alignment_consistency_pct,movement_smoothness,symmetry_difference_deg,total_reps,correct_rep_ratio_pct,duration_seconds,peak_flexion_deg,peak_extension_deg,frame_count
output_true_51.csv,88.72,Excellent,160.0,5.35,65.2,13.79,6.9,0,0.0,4.57,19.4,179.4,138
output_true_52.csv,82.59,Good,153.2,8.38,86.4,66.59,97.2,2,0.0,10.74,25.7,178.9,323
output_true_53.csv,82.59,Good,153.2,8.38,86.4,66.69,97.2,2,0.0,10.74,25.7,178.9,323
output_true_54.csv,80.47,Good,140.0,7.01,76.4,8.7,137.5,4,50.0,12.68,33.8,173.8,381
output_true_55.csv,80.47,Good,140.0,7.01,76.4,8.7,137.5,4,50.0,12.68,33.8,173.8,381
output_true_56.csv,76.69,Good,171.2,25.49,81.2,17.05,10.0,7,35.7,14.61,8.2,179.4,439
output_true_57.csv,76.69,Good,171.2,25.49,81.2,17.04,10.0,7,35.7,14.61,8.2,179.4,439
output_true_58.csv,82.99,Good,131.9,6.6,71.9,43.08,131.9,1,50.0,12.18,40.4,172.3,366
output_true_59.csv,82.99,Good,131.9,6.6,71.9,43.08,131.9,1,50.0,12.18,40.4,172.3,366
output_true_6.csv,85.39,Excellent,179.1,1.8,99.3,14.08,124.4,2,50.0,14.87,0.6,179.7,447
output_true_7.csv,76.03,Good,139.4,14.26,49.7,22.09,4.8,4,0.0,5.72,38.7,178.1,173
output_true_8.csv,66.4,Moderate,125.4,2.86,92.2,4.57,125.4,0,0.0,5.33,38.3,163.8,161
output_true_9.csv,90.89,Excellent,112.5,1.7,100.0,3.86,112.5,0,0.0,3.5,48.1,160.6,212
